0,Sound,mus_zz_megalovania,0,,,,,
0,SansAnimation,ADjdsidj,,,,
0,SansHead,LookLeft,,,
0,SansText,Ready?,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.06666,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,SansSlam,1,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,BoneStab,1,54,0.5,0.3,,,,
0.7,SansBody,HandRight,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,SansSlam,0,,,,,,,,,,
0,BoneStab,0,54,0.5,0.3,,,,
0.7,SansBody,HandUp,,,,,,,
0,SansHead,BlueEye,,,,,,,
0,SansSlam,3,,,,,,,,,,
0,BoneStab,3,54,0.5,0.3,,,,
0.7,SansBody,HandLeft,,,,,,,
0,HeartMode,0,,,,,,,
0,Sound,Ding,,,,,,,
0.4,Sound,GasterBlaster,1.4,,,,,,
0.4,SineBones,20,-24,130,25,,,,
0.3,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0.5,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.5,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0.3,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0.7,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
1.1,SansAnimation,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
0.69999,GasterBlaster,2,0,0,320,126,90,0.333,0.26666
0,GasterBlaster,2,640,480,320,466,270,0.333,0.26666
1,BoneStab,3,54,0.5,3,,,,
0,BoneStab,2,54,0.5,3,,,,
0,BoneStab,1,54,0.5,3,,,,
0,BoneStab,0,54,0.5,3,,,,
3,SansHead,Default,,,,,,,
0,SansText,bruh sorry just a habit.,,,,,,,
0,EndAttack,,,,,,,,
